Area,Direccion,CodigoPostal,Fecha,Precio,Habitaciones,Distacia,Banos,Carros,Terreno,Construccion,AnoConstriccion
Yarra,25 Bloomburg St,3067,11/1/2024,1035000,2,2.5,1,0,156,79,
Yarra,5 Charles St,3067,10/1/2024,1465000,3,2.5,2,0,134,150,
Yarra,55a Park St,3067,12/1/2024,1600000,4,2.5,1,2,120,142,2014
Yarra,124 Yarra St,3067,,1876000,3,2.5,2,0,245,210,
Yarra,98 Charles St,3067,12/1/2024,1636000,2,2.5,1,2,256,107,
Yarra,10 Valiant St,3067,11/1/2024,1097000,2,2.5,1,2,220,75,
Yarra,40 Nicholson St,3067,12/1/2024,1350000,3,2.5,2,2,214,190,2005
Yarra,123/56 Nicholson St,3067,12/1/2024,,2,2.5,2,1,0,94,2009
Yarra,16 William St,3067,10/1/2024,1310000,2,2.5,1,2,238,97,
Yarra,42 Henry St,3067,10/1/2024,1200000,3,2.5,2,1,113,110,
Yarra,78 Yarra St,3067,12/1/2024,1176500,3,2.5,1,1,138,105,
Yarra,42 Valiant St,3067,11/1/2024,890000,2,2.5,1,1,150,73,1985
Yarra,3/72 Charles St,3067,12/1/2024,1330000,4,2.5,2,2,780,135,
Yarra,138/56 Nicholson St,3067,12/1/2024,,3,2.5,2,2,4290,27,
Yarra,6/219 Nicholson St,3067,12/1/2024,500000,2,2.5,1,1,0,60,1970
Yarra,52a William St,3067,10/1/2024,,2,2.5,2,1,124,135,2013
Yarra,49 Park St,3067,10/1/2024,1315000,2,2.5,1,0,147,85,
Yarra,48 Abbotsford St,3067,,1447500,3,2.5,3,1,166,174,2012
Yarra,116/56 Nicholson St,3067,12/1/2024,457000,1,2.5,1,1,0,50,
Yarra,159 Park St,3067,,1135000,2,2.5,2,2,98,128,
Yarra,166 Gipps St,3067,10/1/2024,1290000,3,2.5,2,2,147,18,
Yarra,60 Stafford St,3067,11/1/2024,1290000,3,2.5,1,1,168,124,1950
Yarra,11/205 Gipps St,3067,12/1/2024,470000,1,2.5,1,1,0,50,2013
Yarra,47 Studley St,3067,10/1/2024,1180000,2,2.5,1,0,162,91,
Yarra,45 Yarra St,3067,,1195000,3,2.5,2,1,120,128,1998
Yarra,200 Nicholson St,3067,,1012500,2,2.5,1,0,182,82,
Yarra,27 Charles St,3067,10/1/2024,,2,2.5,1,1,172,81,
Moonee Valley,154 Halsey Rd,3042,10/1/2024,840000,3,13.5,2,1,303,225,2016
Moonee Valley,50 Bedford St,3042,12/1/2024,730000,3,13.5,2,1,0,145,1965
Moonee Valley,50 Bedford St,3042,11/1/2024,770000,3,13.5,2,1,0,145,1965
Moonee Valley,23 Hart St,3042,12/1/2024,,2,13.5,1,1,272,84,1950
Moonee Valley,1/80 Hawker St,3042,10/1/2024,700000,3,13.5,2,2,239,134,2009
Moonee Valley,1/37 Hillside Gr,3042,11/1/2024,600000,3,13.5,1,1,290,116,1980
Moonee Valley,2/49 McIntosh St,3042,10/1/2024,500000,2,13.5,1,1,168,86,2011
Moonee Valley,36 Roberts Rd,3042,,785000,4,13.5,1,2,597,127,
Moonee Valley,11 Harrington Rd,3042,10/1/2024,725000,6,13.5,3,2,976,186,1980
Moonee Valley,2/252 Parer Rd,3042,11/1/2024,450000,2,13.5,1,1,110,90,2015
Moonee Valley,3/19 Hart St,3042,10/1/2024,515000,2,13.5,1,1,141,73,2013
Moonee Valley,2/62 Clydesdale Rd,3042,11/1/2024,,2,13.5,1,1,120,94,2012
Moonee Valley,3 Deidre Ct,3042,10/1/2024,895000,3,13.5,1,6,1063,133,1975
Moonee Valley,13 Etzel St,3042,12/1/2024,805000,3,13.5,1,1,0,105,1950
Moonee Valley,1/43 Cameron St,3042,,752000,3,13.5,1,1,265,130,1993
Moonee Valley,2/40 Earl St,3042,10/1/2024,700000,3,13.5,2,2,165,133,2009
Moonee Valley,180 Parer Rd,3042,10/1/2024,830000,3,13.5,1,2,971,113,1960
Moonee Valley,174 Parer Rd,3042,10/1/2024,675000,2,13.5,1,1,612,100,1975
Moonee Valley,138 Victory Rd,3042,12/1/2024,1042000,3,13.5,2,5,612,174,1950
Moonee Valley,6 Kittyhawk St,3042,12/1/2024,773000,4,13.5,3,4,531,309,1980
Moonee Valley,478 Fullarton Rd,3042,11/1/2024,810000,3,13.5,3,2,555,192,1980
Moonee Valley,144 Marshall Rd,3042,10/1/2024,715000,3,13.5,2,2,422,126,1995
Moonee Valley,3/7 South Rd,3042,11/1/2024,540000,3,13.5,2,1,161,101,2010
Moonee Valley,37 North St,3042,11/1/2024,825000,3,13.5,2,1,293,102,1960
Moonee Valley,10 Hilbert Rd,3042,10/1/2024,685000,3,13.5,1,1,579,113,1975
Moonee Valley,2/13 North St,3042,11/1/2024,510000,2,13.5,1,1,141,76,
Moonee Valley,85 Roberts Rd,3042,,900000,4,13.5,2,3,628,146,1975
