id,Area,Precio
1,Moonee Valley,840000
2,Moonee Valley,730000
3,Moonee Valley,770000
4,Moonee Valley,3396876.764
5,Moonee Valley,700000
6,Moonee Valley,600000
7,Moonee Valley,500000
8,Moonee Valley,785000
9,Moonee Valley,725000
10,Moonee Valley,450000
11,Moonee Valley,515000
12,Moonee Valley,3099760.957
13,Moonee Valley,895000
14,Moonee Valley,805000
15,Moonee Valley,752000
16,Moonee Valley,700000
17,Moonee Valley,830000
18,Moonee Valley,675000
19,Moonee Valley,1042000
20,Moonee Valley,773000
21,Moonee Valley,810000
22,Moonee Valley,715000
23,Moonee Valley,540000
24,Moonee Valley,825000
25,Moonee Valley,685000
26,Moonee Valley,510000
27,Moonee Valley,900000
28,Darebin,2000000
29,Darebin,1717500
30,Darebin,2840000
31,Darebin,525500
32,Darebin,805000
33,Darebin,3186231.365
34,Darebin,2100000
35,Darebin,865000
36,Darebin,3098305.058
37,Darebin,512000
38,Darebin,1950000
39,Moonee Valley,940000
40,Moonee Valley,467000
41,Moonee Valley,1380000
42,Moonee Valley,490000
43,Moonee Valley,1850000
44,Moonee Valley,971000
45,Moonee Valley,710000
46,Moonee Valley,2425000
47,Moonee Valley,750000
48,Moonee Valley,1053000
49,Moonee Valley,1377000
50,Moonee Valley,970000
51,Moonee Valley,751000
52,Moonee Valley,950000
53,Moonee Valley,685000
54,Moonee Valley,1230000
55,Moonee Valley,770000
56,Moonee Valley,890000
57,Moonee Valley,1440000
58,Moonee Valley,1000000
59,Moonee Valley,1435000
60,Moonee Valley,3220276.921
61,Moonee Valley,1425000
62,Moonee Valley,1340000
63,Moonee Valley,955000
64,Moonee Valley,1100000
65,Moonee Valley,432000
66,Moonee Valley,1640000
67,Moonee Valley,1430000
68,Moonee Valley,610000
69,Moonee Valley,940000
70,Moonee Valley,890000
71,Moonee Valley,1180000
72,Moonee Valley,1480000
73,Moonee Valley,1350000
74,Moonee Valley,865000
75,Moonee Valley,3221317.708
