month,marketing_expense
2018-01,5524.693974
2018-02,7818.313887
2018-03,7096.517853
2018-04,4557.292041
2018-05,5372.74
2018-06,5788.361373
2018-07,5419.400004
2018-08,8105.396521
2018-09,8381.465359
2018-10,942.6613848
2018-11,7385.863389
2018-12,4512.079862
2019-01,2783.349734
2019-02,4349.485995
2019-03,5045.15
2019-04,5443.650002
2019-05,4002.059999
2019-06,3476.13
2019-07,3903.21
2019-08,4970.34
2019-09,1052.24
2019-10,1161.68
2019-11,1314.24
2019-12,5841.328729
2020-01,3419.006931
2020-02,4009.56414
2020-03,3581.162136
2020-04,3993.881672
2020-05,3116.113967
2020-06,2930.79732
2020-07,1304.10027
2020-08,5959.485394
2020-09,5551.347813
2020-10,1977.530347
2020-11,7961.600245
2020-12,3671.304082
