id,ciudad,edad,genero,mes,ordenes,pago,usd
1,Guadalajara,33,Male,Jan 20,0,0,0
2,Guadalajara,23,Female,Jan 20,3,1,327
3,Monterrey,23,Female,Jan 20,1,0,28
4,Leon,24,Female,Jan 20,0,0,0
5,Puebla,46,Male,Jan 20,2,1,456
6,Guadalajara,35,Female,Jan 20,1,1,63
7,Guadalajara,36,Male,Jan 20,1,1,30
8,Guadalajara,63,Female,Jan 20,4,1,661
9,Puebla,53,Male,Jan 20,3,1,617
10,Guadalajara,41,Male,Jan 20,4,0,474
11,Leon,47,Male,Jan 20,3,1,494
12,Puebla,63,Female,Jan 20,1,1,231
13,Leon,43,Male,Jan 20,1,1,233
14,Puebla,38,Male,Jan 20,4,1,794
15,Guadalajara,43,Male,Jan 20,3,1,345
16,Guadalajara,53,Male,Jan 20,2,1,369
17,Monterrey,24,Female,Jan 20,3,1,314
18,Guadalajara,43,Male,Jan 20,1,1,185
19,Leon,47,Male,Jan 20,2,1,563
20,Guadalajara,42,Male,Jan 20,3,1,123
21,Monterrey,31,Female,Jan 20,2,1,386
22,Guadalajara,38,Male,Jan 20,4,1,1001
23,Leon,35,Female,Jan 20,1,1,220
24,Guadalajara,64,Female,Jan 20,3,0,385
25,Leon,42,Male,Jan 20,0,0,0
26,Puebla,28,Female,Jan 20,3,1,529
27,Leon,35,Female,Jan 20,1,1,218
28,Monterrey,61,Female,Jan 20,1,1,131
29,Monterrey,39,Male,Jan 20,4,1,787
30,Guadalajara,32,Female,Jan 20,2,1,205
31,Guadalajara,40,Female,Jan 20,2,1,409
32,Guadalajara,42,Female,Jan 20,4,1,541
33,Guadalajara,49,Male,Jan 20,3,1,882
34,Leon,29,Female,Jan 20,2,1,551
35,Leon,38,Female,Jan 20,1,1,104
36,Monterrey,31,Female,Jan 20,3,1,639
37,Leon,62,Female,Jan 20,4,0,713
38,Monterrey,47,Male,Jan 20,2,1,562
39,Guadalajara,25,Male,Jan 20,3,1,181
40,Guadalajara,40,Male,Jan 20,3,1,46
41,Monterrey,27,Female,Jan 20,4,0,1177
42,Leon,46,Male,Jan 20,2,1,195
43,Puebla,37,Female,Jan 20,4,1,144
44,Monterrey,41,Male,Jan 20,3,1,530
45,Monterrey,61,Female,Jan 20,0,0,0
46,Puebla,40,Female,Jan 20,1,1,49
47,Guadalajara,40,Male,Jan 20,4,0,85
48,Guadalajara,62,Female,Jan 20,0,0,0
49,Puebla,25,Female,Jan 20,1,1,171
50,Monterrey,49,Male,Jan 20,3,1,679
51,Leon,25,Female,Jan 20,3,1,732
52,Monterrey,28,Female,Jan 20,2,1,423
53,Guadalajara,25,Female,Jan 20,0,0,0
54,Guadalajara,33,Female,Jan 20,4,1,717
55,Leon,32,Male,Jan 20,2,1,459
56,Puebla,55,Male,Jan 20,4,1,1082
57,Guadalajara,36,Female,Jan 20,1,1,99
58,Leon,42,Male,Jan 20,2,0,228
59,Monterrey,37,Male,Jan 20,2,0,195
60,Puebla,35,Male,Jan 20,2,1,251
61,Monterrey,36,Female,Jan 20,2,1,63
62,Leon,25,Female,Jan 20,3,1,477
63,Guadalajara,41,Male,Jan 20,1,1,245
64,Puebla,34,Female,Jan 20,1,1,165
65,Leon,65,Female,Jan 20,0,0,0
66,Leon,35,Male,Jan 20,4,1,333
67,Guadalajara,65,Female,Jan 20,2,1,466
68,Monterrey,34,Male,Jan 20,2,1,137
69,Monterrey,32,Male,Jan 20,2,1,398
70,Leon,25,Female,Jan 20,1,1,100
71,Leon,65,Female,Jan 20,0,0,0
72,Guadalajara,40,Male,Jan 20,4,1,80
73,Puebla,28,Female,Jan 20,1,0,288
74,Monterrey,29,Female,Jan 20,1,1,300
75,Monterrey,39,Male,Jan 20,1,1,45
76,Leon,39,Female,Jan 20,2,1,536
77,Guadalajara,37,Female,Jan 20,3,1,696
78,Monterrey,38,Male,Jan 20,0,0,0
79,Leon,37,Male,Jan 20,0,0,0
80,Puebla,39,Female,Jan 20,1,1,248
81,Puebla,20,Male,Jan 20,3,1,490
82,Monterrey,54,Male,Jan 20,4,1,937
83,Puebla,41,Male,Jan 20,4,1,219
84,Puebla,65,Female,Jan 20,3,1,392
85,Puebla,36,Male,Jan 20,2,0,561
86,Puebla,26,Female,Jan 20,2,1,53
87,Puebla,48,Male,Jan 20,2,1,114
88,Guadalajara,36,Female,Jan 20,3,0,119
89,Leon,64,Female,Jan 20,3,1,736
90,Puebla,50,Male,Jan 20,1,1,218
91,Leon,37,Female,Jan 20,4,0,78
92,Monterrey,29,Female,Jan 20,3,1,219
93,Puebla,25,Female,Jan 20,0,0,0
94,Guadalajara,65,Female,Jan 20,0,0,0
95,Monterrey,36,Female,Jan 20,1,1,67
96,Leon,33,Male,Jan 20,2,0,159
97,Monterrey,32,Male,Jan 20,3,1,432
98,Leon,26,Female,Jan 20,3,1,299
99,Leon,32,Male,Jan 20,2,1,175
100,Guadalajara,23,Female,Jan 20,0,0,0
101,Monterrey,23,Female,Jan 20,3,1,255
102,Leon,53,Male,Jan 20,1,1,116
103,Leon,39,Male,Jan 20,3,1,760
104,Puebla,26,Female,Jan 20,2,1,487
105,Monterrey,45,Male,Jan 20,3,1,398
106,Guadalajara,38,Male,Jan 20,3,1,109
107,Puebla,40,Male,Jan 20,3,1,685
108,Puebla,54,Female,Jan 20,3,1,847
109,Leon,50,Male,Jan 20,2,1,378
110,Leon,47,Male,Jan 20,2,1,437
111,Guadalajara,46,Female,Jan 20,3,1,747
112,Monterrey,41,Female,Jan 20,2,1,249
113,Monterrey,33,Female,Jan 20,2,1,314
114,Monterrey,37,Male,Jan 20,1,1,88
115,Puebla,24,Female,Jan 20,1,1,136
116,Guadalajara,37,Male,Jan 20,3,1,296
117,Guadalajara,49,Male,Jan 20,1,1,241
118,Guadalajara,41,Male,Jan 20,2,1,236
119,Leon,20,Female,Jan 20,1,1,111
120,Guadalajara,39,Female,Jan 20,1,1,298
121,Monterrey,42,Female,Jan 20,3,1,403
122,Leon,20,Female,Jan 20,1,0,193
123,Monterrey,38,Male,Jan 20,3,0,361
124,Leon,41,Female,Jan 20,3,1,309
125,Puebla,40,Male,Jan 20,2,1,245
126,Guadalajara,52,Male,Jan 20,1,1,264
127,Monterrey,32,Male,Jan 20,3,1,223
128,Leon,34,Male,Jan 20,3,1,342
129,Monterrey,32,Male,Jan 20,1,1,175
130,Leon,38,Male,Jan 20,1,1,35
131,Monterrey,38,Male,Jan 20,3,1,418
132,Puebla,44,Male,Jan 20,2,1,571
133,Leon,29,Male,Jan 20,3,1,249
134,Guadalajara,49,Male,Jan 20,2,1,588
135,Puebla,48,Male,Jan 20,1,1,41
136,Puebla,48,Male,Jan 20,1,1,45
137,Guadalajara,33,Male,Jan 20,2,1,207
138,Puebla,38,Male,Jan 20,1,1,152
139,Monterrey,36,Male,Jan 20,1,1,268
140,Puebla,37,Male,Jan 20,1,0,50
141,Puebla,48,Male,Jan 20,2,1,487
142,Guadalajara,36,Male,Jan 20,1,1,165
143,Puebla,48,Male,Jan 20,2,1,374
144,Guadalajara,34,Male,Jan 20,2,1,317
145,Leon,32,Male,Jan 20,3,1,500
146,Leon,39,Male,Jan 20,2,1,125
147,Monterrey,51,Male,Jan 20,1,0,80
148,Leon,52,Male,Jan 20,1,1,258
149,Monterrey,32,Male,Jan 20,3,1,166
150,Puebla,54,Male,Jan 20,1,1,268
151,Monterrey,38,Male,Jan 20,1,1,169
152,Puebla,38,Female,Jan 20,2,1,491
153,Monterrey,31,Female,Jan 20,1,1,91
154,Guadalajara,33,Female,Jan 20,2,1,59
155,Puebla,21,Female,Jan 20,3,1,543
156,Monterrey,31,Female,Jan 20,2,1,396
157,Guadalajara,38,Female,Jan 20,1,1,87
158,Leon,21,Female,Jan 20,3,1,163
159,Monterrey,30,Female,Jan 20,1,1,267
160,Puebla,40,Female,Jan 20,3,1,606
161,Guadalajara,42,Female,Jan 20,1,1,168
162,Puebla,31,Female,Jan 20,3,1,522
163,Monterrey,36,Female,Jan 20,3,1,513
164,Guadalajara,35,Male,Jan 20,2,0,114
165,Guadalajara,39,Male,Jan 20,1,1,243
166,Guadalajara,42,Male,Jan 20,1,0,156
167,Leon,35,Female,Jan 20,3,1,355
168,Puebla,27,Female,Jan 20,2,0,305
169,Monterrey,27,Female,Jan 20,3,0,126
170,Leon,24,Female,Jan 20,2,1,562
171,Monterrey,38,Male,Jan 20,3,0,340
172,Monterrey,45,Male,Jan 20,2,1,580
173,Leon,20,Female,Jan 20,2,1,349
174,Puebla,40,Male,Jan 20,2,1,207
175,Puebla,29,Female,Jan 20,1,1,84
176,Guadalajara,29,Female,Jan 20,1,1,46
177,Leon,39,Male,Jan 20,3,1,63
178,Leon,37,Female,Jan 20,3,1,305
179,Monterrey,49,Male,Jan 20,3,1,384
180,Puebla,51,Male,Jan 20,3,1,386
181,Leon,53,Male,Jan 20,3,1,754
182,Leon,30,Female,Jan 20,3,1,812
183,Leon,48,Male,Jan 20,3,1,887
184,Monterrey,43,Male,Jan 20,3,1,195
185,Guadalajara,35,Female,Jan 20,2,1,148
186,Guadalajara,25,Male,Jan 20,3,1,198
187,Puebla,40,Female,Jan 20,2,1,555
188,Puebla,53,Male,Jan 20,2,1,505
189,Guadalajara,41,Female,Jan 20,3,0,56
190,Monterrey,52,Male,Jan 20,1,1,52
191,Guadalajara,44,Female,Jan 20,3,1,292
192,Guadalajara,40,Male,Jan 20,1,1,225
193,Leon,36,Female,Jan 20,3,1,276
194,Leon,33,Male,Jan 20,3,1,777
195,Puebla,47,Male,Jan 20,1,1,262
196,Puebla,21,Female,Jan 20,3,1,467
197,Leon,32,Male,Jan 20,1,1,127
198,Puebla,26,Female,Jan 20,3,1,577
199,Leon,34,Female,Jan 20,3,1,277
200,Guadalajara,42,Female,Jan 20,1,1,100
201,Leon,20,Female,Jan 20,2,1,514
202,Guadalajara,41,Female,Jan 20,5,0,151
203,Monterrey,48,Male,Jan 20,7,1,1288
204,Puebla,43,Male,Jan 20,6,1,1730
205,Leon,39,Male,Jan 20,1,1,25
206,Monterrey,50,Female,Jan 20,6,1,342
207,Puebla,35,Male,Jan 20,8,1,231
208,Monterrey,26,Female,Jan 20,0,0,0
209,Guadalajara,46,Male,Jan 20,7,1,203
210,Puebla,23,Male,Jan 20,4,1,1017
211,Guadalajara,47,Male,Jan 20,4,1,950
212,Puebla,20,Female,Jan 20,5,1,447
213,Leon,33,Male,Jan 20,2,1,499
214,Guadalajara,23,Female,Jan 20,8,1,1604
215,Puebla,26,Female,Jan 20,4,1,777
216,Guadalajara,39,Female,Jan 20,7,1,1714
217,Puebla,37,Female,Jan 20,5,0,649
218,Guadalajara,24,Female,Jan 20,8,0,1836
219,Guadalajara,33,Female,Jan 20,8,0,447
220,Leon,34,Female,Jan 20,6,1,1758
221,Puebla,29,Male,Jan 20,6,1,416
222,Monterrey,37,Male,Jan 20,5,1,1106
223,Monterrey,23,Female,Jan 20,7,1,898
224,Leon,35,Male,Jan 20,3,1,278
225,Monterrey,54,Male,Jan 20,5,1,249
226,Monterrey,46,Male,Jan 20,8,1,765
227,Leon,35,Male,Jan 20,5,1,1453
228,Leon,20,Female,Jan 20,2,1,566
229,Monterrey,30,Male,Jan 20,8,1,1757
230,Puebla,52,Male,Jan 20,6,1,390
231,Puebla,24,Female,Jan 20,7,1,1976
232,Leon,30,Female,Jan 20,5,1,891
