id,edad,genero,encuesta,satisfaccion,compra,articulos
1,25.5,Hombre,1,2,206.3,4
2,40,Hombre,1,5,297.9,
3,30,Hombre,1,3,273.4,
4,29.5,Mujer,1,5,327.6,
5,35,Hombre,0,,509.7,4
6,40,Hombre,0,,891,
7,28.5,Mujer,0,,,
8,34.5,Hombre,1,3,152.6,4
9,36.5,Mujer,1,5,276.5,4
10,,,1,3,304.4,
11,37.5,Hombre,0,,381.9,
12,35,Mujer,1,1,93.1,6
13,32,Hombre,1,5,136.3,7
14,,Hombre,1,1,1945.6,5
15,29.5,Hombre,0,,375.1,7
16,34.5,,0,,,
17,28.5,Mujer,1,3,204.8,
18,18.5,,1,5,278.8,
19,36.5,Mujer,1,5,337.7,6
20,39,Hombre,1,3,230.6,4
21,21.5,Mujer,1,4,347.1,8
22,28.5,Hombre,0,,824.3,4
23,37.5,Mujer,1,3,121.5,4
24,45,Hombre,1,2,97.2,
25,34,Hombre,1,3,220.8,6
26,,Mujer,1,4,253.8,
27,30,Hombre,0,,,8
28,33,Mujer,1,4,222.5,
29,41.5,Hombre,1,4,1888.4,
30,30.5,Mujer,0,,,5
31,29.5,Hombre,1,4,218.3,
32,,Hombre,0,,,7
33,31.5,Mujer,0,,124.7,6
34,29,Mujer,1,1,127.2,
35,34.5,Hombre,1,3,275.2,
36,42.5,Mujer,1,1,252.5,
37,,Hombre,1,3,154.5,
38,35.5,Mujer,0,,689.7,6
39,32.5,,1,3,186.5,4
40,32.5,Mujer,1,5,145.6,
41,25.5,Hombre,0,,,
42,38.5,Hombre,1,3,220.3,4
43,33.5,,0,,399.5,7
44,33,Mujer,1,2,296.6,4
45,50,Hombre,1,2,151.1,5
46,35.5,Mujer,1,4,262.8,
47,30,Hombre,1,4,185.2,8
48,31.5,Hombre,1,2,165.5,4
49,40,Mujer,1,1,217,
50,34.5,Hombre,0,,,
51,,Hombre,1,4,147.4,7
52,26.5,Mujer,1,1,183.5,6
53,39,,1,5,135.2,
54,30.5,Hombre,1,4,372.4,5
55,44,Hombre,1,1,227.6,4
56,40,Hombre,1,1,172.5,3
57,31.5,Mujer,0,,,5
58,41,Mujer,0,,719.5,8
59,34.5,,0,,610.7,6
60,38.5,,1,5,241,7
61,36.5,Hombre,1,3,216.6,
62,29.5,Hombre,1,3,208.4,7
63,,Hombre,1,5,271.1,8
64,30.5,Mujer,1,5,281.8,4
65,,Mujer,1,5,185.2,3
66,39.5,Hombre,1,4,181.8,5
67,32,Hombre,0,,582.6,
68,32,Hombre,1,3,204.4,
69,29,Hombre,0,,595.8,
70,,Mujer,1,1,1413.6,
71,36.5,Mujer,1,4,111.4,7
72,45,Hombre,0,,298,
73,28.5,Mujer,0,,371.7,
74,34,Hombre,1,3,327.5,6
75,41.5,Hombre,1,3,348.4,6
76,33.5,Hombre,1,5,206.3,4
77,36.5,Hombre,1,2,268.2,5
78,28.5,Hombre,0,,,
79,36.5,Mujer,1,3,,6
80,33,Hombre,0,,,8
81,39.5,Mujer,1,1,,4
82,40.5,Mujer,1,3,,6
83,48,Hombre,1,1,,8
84,37,Mujer,0,,,6
85,,Mujer,1,2,,8
86,35.5,Mujer,1,2,,8
87,35,Hombre,1,4,,8
88,32,Mujer,1,4,,
89,36,Hombre,1,3,,3
90,32.5,Mujer,1,5,,3
91,35,,0,,,
92,41,Mujer,1,3,,
93,28.5,Mujer,1,2,,5
94,40,Hombre,1,5,,
95,41,,1,2,224.4,
96,,Mujer,1,5,336,4
97,33.5,Hombre,1,1,230.8,
98,,Mujer,1,5,160.4,3
99,22.5,Hombre,0,,,6
100,31,,0,,,7
101,41,Hombre,0,,567,
102,34,Mujer,1,1,339.2,4
103,28.5,,1,5,265.4,4
104,31.5,Hombre,1,3,147.2,8
105,38.5,Mujer,1,5,210.7,
106,37,,1,1,159.3,6
107,32.5,Mujer,1,3,121.3,3
108,32,Hombre,1,5,294.5,7
109,32,Mujer,1,3,368.2,
110,,Mujer,0,,,7
111,29,Hombre,1,4,120.1,6
112,42.5,Hombre,0,,,6
113,32.5,,1,4,267.2,
114,40.5,Hombre,1,3,176.2,4
115,42,Mujer,1,4,188.5,
116,39.5,Hombre,1,3,180.6,
117,31.5,Hombre,1,5,160.2,
