id,edad,genero,encuesta,satisfaccion,compra
1,25.5,Hombre,1,2,206.3
2,40,Hombre,1,5,297.9
3,30,Hombre,1,3,273.4
4,29.5,Mujer,1,5,327.6
8,34.5,Hombre,1,3,152.6
9,36.5,Mujer,1,5,276.5
12,35,Mujer,1,1,93.1
13,32,Hombre,1,5,136.3
17,28.5,Mujer,1,3,204.8
19,36.5,Mujer,1,5,337.7
20,39,Hombre,1,3,230.6
21,21.5,Mujer,1,4,347.1
23,37.5,Mujer,1,3,121.5
24,45,Hombre,1,2,97.2
25,34,Hombre,1,3,220.8
28,33,Mujer,1,4,222.5
29,41.5,Hombre,1,4,1888.4
31,29.5,Hombre,1,4,218.3
34,29,Mujer,1,1,127.2
35,34.5,Hombre,1,3,275.2
36,42.5,Mujer,1,1,252.5
40,32.5,Mujer,1,5,145.6
42,38.5,Hombre,1,3,220.3
44,33,Mujer,1,2,296.6
45,50,Hombre,1,2,151.1
46,35.5,Mujer,1,4,262.8
47,30,Hombre,1,4,185.2
48,31.5,Hombre,1,2,165.5
49,40,Mujer,1,1,217
52,26.5,Mujer,1,1,183.5
54,30.5,Hombre,1,4,372.4
55,44,Hombre,1,1,227.6
56,40,Hombre,1,1,172.5
61,36.5,Hombre,1,3,216.6
62,29.5,Hombre,1,3,208.4
64,30.5,Mujer,1,5,281.8
66,39.5,Hombre,1,4,181.8
68,32,Hombre,1,3,204.4
71,36.5,Mujer,1,4,111.4
74,34,Hombre,1,3,327.5
75,41.5,Hombre,1,3,348.4
76,33.5,Hombre,1,5,206.3
77,36.5,Hombre,1,2,268.2
97,33.5,Hombre,1,1,230.8
102,34,Mujer,1,1,339.2
104,31.5,Hombre,1,3,147.2
105,38.5,Mujer,1,5,210.7
107,32.5,Mujer,1,3,121.3
108,32,Hombre,1,5,294.5
109,32,Mujer,1,3,368.2
111,29,Hombre,1,4,120.1
114,40.5,Hombre,1,3,176.2
115,42,Mujer,1,4,188.5
116,39.5,Hombre,1,3,180.6
117,31.5,Hombre,1,5,160.2
120,29,Hombre,1,2,162.7
123,40.5,Hombre,1,3,207.1
125,35,Hombre,1,4,156.9
126,35.5,Hombre,1,2,181.7
127,32.5,Hombre,1,2,281.7
128,37,Mujer,1,3,262.6
129,31.5,Mujer,1,1,281.4
132,34.5,Mujer,1,5,265.8
133,44.5,Hombre,1,4,175.3
134,28.5,Mujer,1,3,267.8
135,30.5,Hombre,1,3,167.8
136,36.5,Mujer,1,4,102.9
138,36,Mujer,1,3,134.2
139,36.5,Hombre,1,5,228.6
140,37.5,Hombre,1,1,160.5
142,36,Hombre,1,1,196.2
143,32.5,Mujer,1,3,300.5
145,44,Hombre,1,5,287.7
147,29,Hombre,1,3,264.7
148,40,Hombre,1,3,333.1
149,33.5,Hombre,1,5,1069.9
150,22.5,Mujer,1,5,165.2
151,38.5,Mujer,1,5,268.3
152,31,Hombre,1,3,209.8
154,36,Mujer,1,3,252.8
155,35,Mujer,1,2,179.7
158,36.5,Hombre,1,1,231.5
159,32.5,Hombre,1,5,213.3
161,37.5,Mujer,1,5,312.6
162,29,Hombre,1,5,244.1
163,40,Mujer,1,5,250.3
165,38.5,Hombre,1,3,194.1
166,36,Mujer,1,4,188.4
167,44,Hombre,1,5,192.6
169,32,Hombre,1,5,254.6
171,32.5,Hombre,1,2,193.4
172,38.5,Hombre,1,3,246.7
173,25.5,Mujer,1,2,380.7
174,28.5,Mujer,1,5,290.3
175,28.5,Mujer,1,4,200.5
176,39,Hombre,1,2,315.1
177,43,Hombre,1,4,194.4
180,34.5,Hombre,1,3,149.4
181,40,Hombre,1,2,84.7
182,29,Mujer,1,4,198.6
183,35.5,Hombre,1,3,226.4
184,39,Hombre,1,4,350.7
186,35,Hombre,1,5,208.6
187,39.5,Hombre,1,3,287.2
188,19.5,Hombre,1,3,1597.5
1,25.5,Hombre,1,2,206.3
2,40,Hombre,1,5,297.9
3,30,Hombre,1,3,273.4
4,29.5,Mujer,1,5,327.6
8,34.5,Hombre,1,3,152.6
9,36.5,Mujer,1,5,276.5
12,35,Mujer,1,1,93.1
13,32,Hombre,1,5,136.3
17,28.5,Mujer,1,3,204.8
19,36.5,Mujer,1,5,337.7
20,39,Hombre,1,3,230.6
21,21.5,Mujer,1,4,347.1
163,40,Mujer,1,5,250.3
165,38.5,Hombre,1,3,194.1
166,36,Mujer,1,4,188.4
167,44,Hombre,1,5,192.6
169,32,Hombre,1,5,254.6
120,29,Hombre,1,2,768.5
123,40.5,Hombre,1,3,456.8
125,35,Hombre,1,4,190.5
126,35.5,Hombre,1,2,867.5
