indicator,country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
GDP growth (annual %),Argentina,8.0471515,9.007650875,4.057233103,-5.918525076,10.12539816,6.003951693,-1.026420454,2.405323781,-2.512615321,2.731159828
GDP growth (annual %),Brazil,3.961988711,6.069870607,5.094195447,-0.1258120022,7.528225818,3.974423079,1.921175986,3.004822669,0.5039557402,-3.545763393
GDP growth (annual %),Canada,2.6379438,2.049904611,0.99540631,-2.915086239,3.090806374,3.13719439,1.755661325,2.325813574,2.873466772,0.6499709937
GDP growth (annual %),Chile,6.049990829,5.168230987,3.789392802,-1.118037233,5.851651017,6.223896787,6.155340021,3.308508245,1.792649474,2.151942499
GDP growth (annual %),Colombia,6.716868698,6.738194691,3.283446186,1.139648645,4.494658971,6.947891982,3.912635767,5.13399352,4.499030001,2.955901375
GDP growth (annual %),Cuba,12.06586311,7.262136966,4.116828042,1.451305431,2.390352297,2.802300836,3.014900289,2.747602563,1.047576632,4.438333589
GDP growth (annual %),Honduras,6.567243552,6.188327167,4.23160011,-2.43162788,3.731140344,3.835690662,4.128687749,2.791559757,3.058080562,3.840079971
GDP growth (annual %),Mexico,4.805013527,2.077863934,0.943331863,-6.295250558,4.971334583,3.444045058,3.55321076,0.8521015594,2.503763503,2.702323426
GDP growth (annual %),Peru,7.528899044,8.518387769,9.126568301,1.095823659,8.332459107,6.327192402,6.139724706,5.852518211,2.382157372,3.252244772
GDP growth (annual %),United States,2.784539639,2.003858298,0.1135872483,-2.576500234,2.695192584,1.564406854,2.289113388,2.117830099,2.523819814,2.945550455
