cluster_id,post_count,percentage,top_words,sample_titles
0,52,14.325068870523417,"['revenue', 'company', 'stock', 'market', 'growth', 'year', 'still', 'share', 'stocks', 'earnings']","['GameStop shares surge after firm pledges to add bitcoin to balance sheet', 'Amazon is a bargain at $205', 'Why Klarna IPO a big deal?']"
1,86,23.69146005509642,"['stocks', 'stock', 'market', 'like', 'time', 'trading', 'people', 'would', 'years', 'selling']","['Rate My Portfolio - r/Stocks Quarterly Thread March 2025', ""Financial times tones down its claims about a $1.4 billion misstatement in Tesla's cash flow"", '23.35 percent dividend yield']"
2,20,5.5096418732782375,"['shares', 'buy', 'stock', 'bought', 'market', 'sell', 'loss', 'spy', 'buying', 'since']","['Help with older stock certificates.  FMB', 'Psec thoughts? Massive insider buying but some red flags', 'Cathie Wood Sells Meta Shares']"
3,39,10.743801652892563,"['stock', 'market', 'think', 'companies', 'good', 'like', 'know', 'would', 'guys', 'invest']","['How safe do you think WMT (Walmart) is as an investment long term? Is retail dying? Specifically the types of products Walmart sells', 'Is it a good idea to put 1k in stocks if I only have ~12k in the bank?', 'Thoughts on FEDEX, ADOBE?']"
4,33,9.090909090909092,"['said', 'company', 'google', 'nvidia', 'new', 'also', 'billion', 'apple', 'year', 'last']","['Samsung Electronics says co-CEO Han Jong-hee has passed away', 'Bayer hit with $2 billion Roundup verdict in US state of Georgia cancer case', 'Volkswagen Group cooperates with Valeo and Mobileye (MBLY) to enhance driver assistance in future MQB vehicles']"
5,40,11.019283746556475,"['tesla', 'stock', 'teslas', 'sales', 'company', 'said', 'musk', 'market', 'musks', 'elon']","['Canada Freezes $43 Million in Tesla EV Rebates, Bans Future Eligibility Over Tariff Dispute', 'Chinese EV giant BYD outpaces Tesla with annual sales of more than $100 billion', 'Volkswagen, BMW group electric cars outsell Tesla in Europe in February']"
6,53,14.600550964187327,"['tariffs', 'trump', 'said', 'market', 'stocks', 'markets', 'year', 'trade', 'investors', 'week']","['Retail traders plough $67bn into us stocks while investment giants flee.', 'US consumer confidence tumbles for the 4th straight month as future expectations hit a 12-year low', 'Stocks Close Higher for 3rd Straight Day; Tesla Surges in Late Trading to Extend Rally']"
7,12,3.3057851239669422,"['news', 'market', 'fundamentals', 'daily', 'options', 'aggregated', 'investopedia', 'links', 'including', 'stocks']","['r/Stocks Daily Discussion & Technicals Tuesday - Mar 25, 2025', 'r/Stocks Daily Discussion Monday - Mar 24, 2025', '/r/Stocks Weekend Discussion Saturday - Mar 22, 2025']"
8,13,3.581267217630854,"['fed', 'rates', 'rate', 'market', 'inflation', 'trump', 'interest', 'economy', 'year', 'said']","['Trump Says Fed Should Cut Rates as Tariff Push Heats Up', 'Hapag-Lloyd – The Perfect Storm Looms', 'Fed holds interest rates steady, still sees two cuts coming this year']"
9,15,4.132231404958678,"['european', 'europe', 'defense', 'cloud', 'companies', 'says', 'defence', 'billion', 'military', 'said']","['Tesla just got even more bad news from Europe', 'Companies in the EU are starting to look for ways to ditch Amazon, Google, and Microsoft cloud services.', 'European Growth Stocks?']"
